ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.1515,-6.7738,-0.8542
-0.2148,-8.0579,-0.9047
0.5593,-8.5409,0.2078
0.5927,-9.1214,0.6288
-0.2324,-8.6691,0.6344
-0.851,-7.1772,0.1432
-0.659,-5.2785,-0.8291
-0.3955,-3.9794,-1.0792
-0.2826,-3.2812,-1.0912
-0.2033,-2.9528,-0.8671
-0.7986,-2.3713,0.0251
-1.4104,-2.1367,0.3319
-2.1046,-2.3719,-0.899
-2.0374,-2.1952,-4.3769
-0.5157,-1.5819,-5.9199
1.663,-0.5067,-3.3742
2.3397,2.5896,-2.2626
2.3584,8.5692,-2.833
2.6523,17.1887,-0.8651
3.8441,17.9965,2.8657
0.7684,11.9761,0.4394
-1.4869,5.9221,2.1772
-0.3447,2.9553,2.8861
0.5037,2.5613,1.5913
0.6399,3.3776,-0.0733
0.6996,3.4418,-0.2699
0.8423,2.2259,1.0185
1.0152,0.2687,1.2675
0.9964,-1.7817,1.3023
1.1716,-3.7036,0.5666
0.4148,-4.6933,-0.0634
-0.0861,-5.7015,-0.1211
-0.6464,-6.0753,-0.0958
-1.2193,-6.8042,-0.946
-1.0255,-7.4331,-0.9174
-0.5497,-7.967,-0.4326
0.2874,-8.0097,-0.6517
1.0812,-7.9961,-1.0983
-0.3719,-7.8484,-0.4588
0.927,-6.6559,-0.8061
0.7544,-4.8287,-1.2485
1.2723,-3.5256,0.0043
1.7922,-3.2075,0.2355
1.6149,-3.1649,-1.6963
1.2077,-2.9417,-2.8665
-0.1713,-0.6045,-5.4782
-2.1818,2.9373,-5.6773
-3.4596,8.1406,-3.1927
-0.1205,17.3271,-0.1017
0.0066,-0.0288,0.0377
0.0151,-0.0392,0.1236
0.0288,-0.0484,0.0667
0.0435,-0.0593,0.0045
0.0095,-0.0663,0.0143
-0.009,-0.074,0.0433
-0.0277,-0.0862,0.0148
-0.0229,-0.0791,-0.0096
-0.0035,-0.1036,0.0151
0.0107,-0.1144,0.0343
0.0255,-0.0922,0.001
0.0015,-0.0611,-0.0138
-0.0028,-0.0484,-0.0328
0.0025,-0.0355,-0.0327
0.0218,-0.0317,0.0249
0.0121,-0.0326,0.0681
0.022,-0.083,0.136
0.0617,-0.0366,-0.1036
0.0238,-0.0633,-0.0794
0.005,-0.0554,-0.0744
-0.0102,-0.0409,-0.0223
0.0083,-0.0549,0.0597
0.0314,-0.0703,0.0646
0.0449,-0.0818,0.0169
0.0402,-0.0846,-0.0398
-0.0028,-0.0813,-0.0115
-0.0177,-0.0734,0.003
-0.018,-0.0653,-0.0208
0.0013,-0.0759,-0.0398
0.0011,-0.0762,-0.0398
0.0057,-0.0666,-0.0206
-0.0031,-0.0571,0.0272
0.0025,-0.048,0.0369
0.0074,-0.0587,0.0082
0.0071,-0.0312,-0.0156
0.0163,-0.0374,-0.0059
0.021,-0.0478,-0.0154
0.0019,-0.0484,-0.0015
0.0068,-0.0729,-0.0344
0.012,-0.0734,-0.02
0.0073,-0.0599,-0.0247
-0.0021,-0.0703,0.0041
0.0169,-0.0716,-0.0054
0.007,-0.0636,0.0044
0.0165,-0.0606,0.0189
0.0114,-0.0575,-0.0103
0.0161,-0.0537,-0.0389
-0.0027,-0.0593,-0.0628
0.0026,-0.0393,-0.0437
0.0125,-0.0518,0.0574
0.0074,-0.0619,0.0574
-0.0116,-0.0639,-0.0047
0.008,-0.0462,0.014
0.0378,-0.081,0.0914
0.0777,-0.0845,-0.0951
0.0598,-0.0614,-0.1669
-0.0026,-0.0816,-0.0379
-0.0327,-0.0889,-0.0573
-0.005,-0.0622,-0.178
0.0171,0.001,-0.0635
-0.0035,0.0115,0.1419
-0.0044,0.0186,0.1082
0.0041,-0.0233,0.065
0.0024,-0.0572,-0.0015
0.0115,-0.0624,-0.0781
-0.0041,-0.0562,-0.0597
-0.0283,-0.0726,-0.021
-0.024,-0.1041,-0.002
-0.0051,-0.1024,-0.0118
0.0191,-0.1148,0.0127
0.0039,-0.0996,0.0072
-0.0009,-0.0707,-0.0408
0.0087,-0.0364,-0.0606
-0.0009,0.0087,-0.0513
0.018,-0.0075,0.0203
0.0366,0.0034,0.0202
0.0117,-0.0579,0.0782
0.0602,-0.0499,-0.0509
0.0416,-0.0556,-0.0509
0.0086,-0.0371,-0.0898
-0.0206,-0.0164,-0.0564
-0.0167,-0.0424,0.0111
0.0246,-0.0505,0.0349
0.0374,-0.0748,0.0451
0.0229,-0.0817,-0.0128
0.0038,-0.0638,-0.0462
-0.0209,-0.0788,-0.003
-0.0262,-0.0748,0.0162
-0.0173,-0.0708,-0.0268
-0.0073,-0.0662,-0.0508
0.0027,-0.0606,-0.0508
-0.0119,-0.0496,0.0113
-0.0168,-0.0388,0.0106
-0.0079,-0.0425,0.0057
0.0154,-0.0319,-0.0471
0.0245,-0.0207,-0.0424
0.024,-0.0378,0.0011
0.0092,-0.0499,0.0153
0.0089,-0.0634,0.0248
0.018,-0.0491,0.0152
0.0036,-0.0596,-0.0183
0.0088,-0.0737,-0.047
0.0174,-0.0396,-0.0423
0.012,-0.0568,0.0246
0.0011,-0.061,0.015
-0.0001,-0.0617,-0.0233
0.0043,-0.0569,-0.0281
0.0044,-0.0564,0.0389
0.0096,-0.0768,0.0636
0.0061,-0.0512,-0.1715
0.0023,-0.044,-0.1429
-0.032,-0.0535,0.0291
-0.0195,-0.0755,-0.0047
0.0077,-0.0357,-0.1389
0.0297,0.0302,-0.0153
0.014,0.0187,0.1527
0.0375,0.0418,0.042
0.0702,-0.0445,-0.0196
0.0739,-0.0829,-0.0717
0.0255,-0.0862,-0.0766
-0.037,-0.0698,-0.0241
-0.0374,-0.0777,-0.0243
-0.0333,-0.0715,-0.0388
-0.0289,-0.0748,-0.0389
-0.0194,-0.0824,-0.0007
-0.0193,-0.0815,-0.0392
-0.0094,-0.061,-0.0441
-0.0089,-0.0163,-0.04
-0.0092,0.0093,-0.0306
0.0053,-0.0037,0.0124
0.0096,0.0063,-0.0212
-0.0005,-0.0511,0.0273
0.0191,-0.0483,-0.097
-0.0048,-0.04,-0.0928
-0.0332,-0.0249,-0.0833
-0.0294,-0.0412,0.0225
0.0174,-0.0499,0.0177
0.0341,-0.04,0.0464
0.0334,-0.0542,0.056
0.0136,-0.0703,-0.0301
0.0038,-0.0715,-0.0444
-0.0114,-0.0805,-0.0061
-0.0027,-0.0612,-0.0061
0.0016,-0.057,-0.0205
0.0159,-0.0608,-0.0109
0.007,-0.0461,0.0034
0.0124,-0.0315,0.0034
0.0127,-0.0271,-0.0164
0.0222,-0.0126,-0.0164
0.012,-0.0125,-0.0068
0.0174,-0.0265,-0.0062
-0.0019,-0.037,-0.0349
-0.0164,-0.037,-0.0451
-0.0114,-0.0416,-0.0158
-0.0074,-0.0313,0.0225
0.0015,-0.051,0.0465
-0.0177,-0.0619,-0.0348
0.0015,-0.0621,-0.054
-0.0082,-0.0567,0.0562
0.0018,-0.0722,0.0755
0.0376,-0.0429,-0.241
-0.0101,-0.0444,-0.0832
-0.0114,-0.0837,0.0656
0.0112,-0.0697,-0.0541
0.0189,-0.0356,-0.1362
0.0414,-0.009,0.0462
0.0462,0.0298,0.1126
0.0169,0.018,-0.0022
0.031,-0.0016,-0.05
0.0109,-0.0204,-0.0692
-0.0044,-0.0436,-0.0447
-0.0387,-0.0755,-0.0017
-0.0439,-0.0846,0.0078
-0.0205,-0.0846,0.0126
-0.016,-0.0896,0.0126
-0.0065,-0.0803,-0.0065
-0.0016,-0.0568,-0.04
-0.011,-0.0274,-0.0449
-0.0012,-0.0169,-0.021
-0.0015,0.0078,-0.0169
0.0232,-0.0053,-0.002
0.0319,0.0142,0.0117
0.0073,-0.0243,0.0602
0.0413,-0.0496,0.0269
0.0421,-0.0385,-0.131
-0.01,-0.0195,-0.1076
-0.024,-0.0272,-0.021
-0.0251,-0.0114,-0.0025
0.0211,-0.0389,0.0405
0.0342,-0.0392,0.0747
0.0195,-0.0415,0.0216
-0.0131,-0.0535,-0.0357
-0.0227,-0.0593,-0.026
-0.0284,-0.059,0.0027
-0.0091,-0.0543,-0.0116
0.0006,-0.0446,-0.0596
0.0099,-0.0195,-0.0309
-0.0182,-0.0231,0.0265
-0.0083,-0.0182,0.0025
-0.0034,-0.0241,-0.0358
0.0107,-0.0147,-0.0405
0.0056,-0.0332,-0.007
0.0102,-0.0189,0.0217
0.0053,-0.0337,0.0128
0.0156,-0.0208,-0.0404
-0.0083,-0.0358,-0.0595
0.0014,-0.0407,-0.0691
0.0012,-0.0355,-0.0308
-0.0001,-0.0443,0.0464
-0.0002,-0.0644,-0.0014
-0.0001,-0.0468,-0.0444
-0.0196,-0.0563,0.0418
-0.0001,-0.0577,0.0947
0.0306,-0.0196,-0.2026
0.0081,-0.0033,-0.1309
-0.0261,-0.0614,0.1137
-0.0175,-0.0475,-0.0252
0.014,-0.0234,-0.1599
0.0414,-0.0017,-0.026
0.0259,0.0248,0.1031
0.006,0.0248,0.0408
0.0202,-0.0184,-0.0208
0.0192,-0.0373,-0.0448
-0.0054,-0.0512,-0.0448
-0.0203,-0.0549,0.003
-0.0348,-0.0885,-0.0018
-0.0255,-0.0746,0.0174
-0.0018,-0.0898,0.0229
